SNo,Reporting Date,Region,New(Last 24 Hours) - Suspected Cases at Hospitals,Cumulative - Suspected Cases at Hospitals,Cumulative Tests Performed in Last 24 Hours,Cumulative Tests Performed,Cumulative Test Positive Cases,Still Admitted,Discharged,Expired
1,11/3/2020,ICT,3,48,8,80,2,2,0,0
2,11/3/2020,Punjab,6,61,7,95,0,0,0,0
3,11/3/2020,Sindh,1,84,55,171,14,13,1,0
4,11/3/2020,KP,0,20,2,28,0,0,0,0
5,11/3/2020,KPTD,0,3,0,0,0,0,0,0
6,11/3/2020,Balochistan,4,19,4,18,1,1,0,0
7,11/3/2020,AJK,0,3,0,4,0,0,0,0
8,11/3/2020,GB,0,10,4,26,2,2,0,0
9,12/3/2020,ICT,4,52,5,85,2,2,0,0
10,12/3/2020,Punjab,6,67,10,105,0,0,0,0
11,12/3/2020,Sindh,5,89,27,198,14,12,2,0
12,12/3/2020,KP,4,24,1,29,0,0,0,0
13,12/3/2020,KPTD,0,3,0,0,0,0,0,0
14,12/3/2020,Balochistan,4,23,4,18,1,1,0,0
15,12/3/2020,AJK,0,3,4,8,0,0,0,0
16,12/3/2020,GB,0,10,2,28,3,3,0,0
17,13/3/2020,ICT,5,57,7,92,2,2,0,0
18,13/3/2020,Punjab,4,71,5,110,0,0,0,0
19,13/3/2020,Sindh,18,107,42,240,15,13,2,0
20,13/3/2020,KP,3,27,1,30,0,0,0,0
21,13/3/2020,KPTD,1,4,0,0,0,0,0,0
22,13/3/2020,Balochistan,8,31,0,18,1,1,0,0
23,13/3/2020,AJK,1,4,1,9,0,0,0,0
24,13/3/2020,GB,7,17,4,32,3,3,0,0
25,14/3/2020,ICT,5,62,7,99,3,3,0,0
26,14/3/2020,Punjab,6,77,6,116,0,0,0,0
27,14/3/2020,Sindh,12,119,42,282,16,13,3,0
28,14/3/2020,KP,2,29,1,31,0,0,0,0
29,14/3/2020,KPTD,0,4,0,0,0,0,0,0
30,14/3/2020,Balochistan,14,45,17,35,6,6,0,0
31,14/3/2020,AJK,0,4,1,10,0,0,0,0
